운영노선명,역명,위도,경도,리모델링연도,구
5호선,길동역,37.537769,127.137803,2014,강동구
5호선,굽은다리역,37.545539,127.140717,2008,강동구
5호선,명일역,37.55131,127.141825,2008,강동구
5호선,고덕역,37.555051,127.151921,2012,강동구
5호선,상일동역,37.557055,127.166995,2015,강동구
5호선,강일역,37.55758,127.17588,2021,강동구
5호선,미사역,37.563355,127.192636,2020,
5호선,하남풍산역,37.552026,127.203768,2020,
5호선,하남시청역,37.54172,127.20676,2021,
5호선,하남검단산역,37.53996,127.22263,2021,
5호선,둔촌동역,37.527657,127.134042,2008,강동구
5호선,올림픽공원역,37.516628,127.128901,2010,송파구
5호선,올림픽공원역,37.516628,127.128901,2010,송파구
5호선,방이역,37.508559,127.123771,2013,송파구
5호선,개롱역,37.498162,127.132471,2013,송파구
5호선,거여역,37.494249,127.13979,2013,송파구
5호선,마천역,37.49502,127.150601,2009,송파구
6호선,응암역,37.598472,126.913403,2016,은평구
6호선,역촌역,37.60515,126.919893,2018,은평구
6호선,불광역,37.610098,126.928007,2018,은평구
6호선,불광역,37.610098,126.928007,2018,은평구
6호선,독바위역,37.618387,126.930848,2018,은평구
6호선,연신내역,37.618812,126.918653,2017,은평구
6호선,연신내역,37.618812,126.918653,2017,은평구
6호선,구산역,37.611025,126.915399,2018,은평구
6호선,새절역,37.591014,126.911393,2020,은평구
6호선,증산역,37.583933,126.907497,2006,은평구
6호선,디지털미디어시티역,37.577964,126.898232,2024,마포구
6호선,월드컵경기장역,37.569656,126.896869,2006,마포구
6호선,마포구청역,37.563418,126.901283,2020,마포구
6호선,마포구청역,37.563418,126.901283,2019,마포구
6호선,망원역,37.555757,126.907718,2017,마포구
6호선,합정역,37.549575,126.911802,2020,마포구
6호선,합정역,37.549575,126.911802,2020,마포구
6호선,상수역,37.547703,126.920759,2022,마포구
6호선,광흥창역,37.547478,126.929666,2017,마포구
6호선,대흥역,37.547674,126.940143,2018,마포구
6호선,공덕역,37.54322,126.949387,2019,마포구
6호선,공덕역,37.54322,126.949387,2019,마포구
6호선,효창공원앞역,37.539289,126.95915,2006,용산구
6호선,삼각지역,37.53563,126.974797,2018,용산구
6호선,삼각지역,37.53563,126.974797,2018,용산구
6호선,녹사평역,37.534945,126.983163,2006,용산구
6호선,이태원역,37.534533,126.99239,2010,용산구
6호선,버티고개역,37.547892,127.004934,2018,중구
6호선,약수역,37.553465,127.009158,2018,중구
6호선,약수역,37.553465,127.009158,2018,중구
6호선,청구역,37.557424,127.009814,2022,중구
6호선,청구역,37.557424,127.009814,2022,중구
6호선,신당역,37.565671,127.017279,2016,중구
6호선,신당역,37.565671,127.017279,2016,중구
6호선,동묘앞역,37.572729,127.013819,2020,종로구
6호선,동묘앞역,37.572729,127.013819,2020,종로구
6호선,보문역,37.58533,127.017202,2006,성북구
6호선,안암역,37.587422,127.029258,2006,성북구
6호선,월곡역,37.601925,127.039341,2006,성북구
6호선,상월곡역,37.6066,127.046673,2006,성북구
6호선,돌곶이역,37.610493,127.054214,2019,성북구
6호선,석계역,37.615233,127.064155,2006,노원구
6호선,태릉입구역,37.62187,127.086099,2006,노원구
6호선,태릉입구역,37.62187,127.086099,2006,노원구
6호선,화랑대역,37.621869,127.079533,2006,노원구
6호선,봉화산역,37.699655,127.050087,2022,중랑구
7호선,장암역,37.69995657,127.0528183,2015,
7호선,도봉산역,37.68963047,127.0464256,2016,도봉구
7호선,수락산역,37.665375,127.055425,2009,노원구
7호선,마들역,37.654527,127.058362,2014,노원구
7호선,노원역,37.645494,127.061718,2006,노원구
7호선,노원역,37.645494,127.061718,2006,노원구
7호선,중계역,37.63595,127.066024,2014,노원구
7호선,하계역,37.625787,127.070705,2009,노원구
7호선,공릉역,37.62554276,127.0730336,2010,노원구
7호선,태릉입구역,37.61845951,127.0754053,2013,노원구
7호선,태릉입구역,37.61845951,127.0754053,2013,노원구
7호선,먹골역,37.61078,127.075518,2014,중랑구
7호선,중화역,37.602572,127.077096,2009,중랑구
7호선,면목역,37.588745,127.085305,2009,중랑구
7호선,사가정역,37.580966,127.086314,2009,중랑구
7호선,용마산역,37.573793,127.084629,2015,중랑구
7호선,중곡역,37.565535,127.081897,2012,광진구
7호선,어린이대공원역,37.547905,127.072404,2009,광진구
7호선,청담역,37.51912,127.049748,2006,강남구
7호선,강남구청역,37.517473,127.03898,2024,강남구
7호선,학동역,37.515323,127.027744,2006,강남구
7호선,논현역,37.511206,127.019539,2006,강남구
7호선,논현역,37.511206,127.019539,2016,강남구
7호선,반포역,37.508213,127.009658,2006,서초구
7호선,고속터미널역,37.504914,127.002726,2019,서초구
7호선,고속터미널역,37.504914,127.002726,2019,서초구
7호선,고속터미널역,37.504914,127.002726,2019,서초구
7호선,내방역,37.487707,126.991409,2020,서초구
7호선,이수역,37.485936,126.979819,2024,동작구
7호선,숭실대입구역,37.496374,126.951315,2021,동작구
7호선,상도역,37.503072,126.945564,2020,동작구
7호선,장승배기역,37.504905,126.937002,2021,동작구
7호선,신대방삼거리역,37.487519,126.911093,2020,동작구
7호선,보라매역,37.499929,126.918093,2006,영등포구
7호선,신풍역,37.50013,126.90678,2006,영등포구
7호선,대림역,37.492981,126.893984,2021,구로구
7호선,대림역,37.492981,126.893984,2021,구로구
7호선,남구로역,37.486051,126.885062,2006,구로구
7호선,가산디지털단지역,37.48039597,126.8826618,2019,금천구
7호선,철산역,37.47619284,126.868211,2019,광명시
7호선,광명사거리역,37.479307,126.852486,2006,광명시
7호선,천왕역,37.486686,126.836492,2018,구로구
7호선,온수역,37.492151,126.821446,2021,구로구
8호선,암사역사공원역역,37.557155,127.13732,2024,
8호선,암사역,37.550646,127.125659,2022,강동구
8호선,강동구청역,37.538374,127.115484,2021,강동구
8호선,몽촌토성역,37.517641,127.110551,2010,송파구
8호선,잠실역,37.513152,127.101221,2014,송파구
8호선,잠실역,37.513152,127.101221,2014,송파구
8호선,석촌역,37.50541412,127.1070041,2009,송파구
8호선,석촌역,37.50541412,127.1070041,2009,송파구
8호선,송파역,37.49971495,127.1121935,2015,송파구
8호선,가락시장역,37.49309925,127.1182628,2015,송파구
8호선,가락시장역,37.49309925,127.1182628,2015,송파구
8호선,문정역,37.495002,127.103639,2015,송파구
8호선,장지역,37.482299,127.124225,2009,송파구
8호선,복정역,37.47074187,127.126724,2015,송파구
8호선,남위례역,37.46272308,127.139351,2021,
8호선,산성역,37.470375,127.11793,2013,
8호선,남한산성입구역,37.451541,127.157632,2009,
8호선,단대오거리역,37.445163,127.154033,2009,
8호선,신흥역,37.440749,127.144161,2006,
8호선,수진역,37.437611,127.138831,2012,
8호선,모란역,37.433072,127.127123,2013,
